UC ID,Title,Persona,Pre-conditions,Post-conditions,ION surfaces
UC-L1-01,Triage an alert,L1 Analyst,Alerts present in the Alert Queue,Alert is closed or escalated; audit log row created; AIFeedback row created,"/alerts, alert detail modal, Bob verdict panel, Entity Timeline sidebar"
UC-L1-02,Create a case from one or more alerts,L1 Analyst,One or more alerts open in the queue,Case is open; alerts bound; Workbench seeded; background tasks running,"/alerts (bulk-ops), /cases/{id} (landing)"
UC-L1-03,Hand over the shift,L1 Analyst (ending shift),"Open cases, recent alerts, ongoing tunings",Handover persisted; accessible to incoming shift,"/shift-handover, /briefing"
UC-L2-01,Investigate a case,L2 Analyst,Case open and assigned (or assignable),Case closed or escalated_to_l3; Workbench ledger has full pin history; audit logs complete,"/cases/{id} (full surface), Workbench tab, Similar Cases sidebar, Entity Timeline drawer"
UC-L2-02,Escalate to L3 (deep-dive / forensics),L2 Analyst,"Case requires forensic depth (memory, full timeline, multi-host pivot)",ForensicCase created and linked; AlertCase under_forensics_review,"/cases/{id}, /forensics/{forensic_id}"
UC-L3-01,Run a forensic investigation,L3 Analyst / Forensicator,ForensicCase open and assigned,ForensicCase closed; chain of custody intact and queryable; AlertCase notified,"/forensics/{id}, Workbench tab, Custody Log tab, Timeline tab"
UC-L3-02,Hunt by hypothesis,L3 Analyst / Threat Hunter,Threat Intelligence indicating a hypothesis worth testing,Hypothesis tested; coverage gaps documented; cases opened where warranted,"/threat-intel, /cyab/attack-heatmap, /discover, /cases"
UC-L3-03,Build an attack story,L3 Analyst,Multiple correlated alerts,Attack story persisted; reportable,"/attack-stories, case Workbench"
UC-DE-01,Tune a noisy rule,Detection Engineer,AIFeedback shows a rule with high FP closure rate,Rule updated in TIDE; tuning proposal closed; metrics track post-tuning effect,"/engineering/analytics, /tuning-proposals, /tide"
UC-DE-02,Map TIDE rules to a compliance framework,Detection Engineer,TIDE rules synced; framework target identified,Compliance posture report ready; gaps catalogued,"/compliance, /tide"
UC-DE-03,Manage Bob's prompt templates,Detection Engineer (security:settings),Bob enabled; templates exist or need creation,Bob behaviour updated; eval harness re-runs in background,"/alert-prompts, /bob-eval"
UC-SM-01,Daily standup briefing,SOC Manager,Shift just ended,Daily action register updated; team aligned for the day,"/briefing, /daily-standup"
UC-SM-02,Review analyst efficiency,SOC Manager,>= 1 sprint of activity recorded,Coaching plan recorded; learning paths assigned where needed,"/analyst-efficiency, /courses"
UC-SM-03,Generate an executive briefing,SOC Manager,Period of activity to summarise,Executive briefing ready for leadership read-out,"/threat-landscape, /executive-report"
UC-AD-01,Configure an integration,Admin,Integration endpoint reachable; credentials available,Integration live; surfaces that consume it become active,"/integrations, /settings"
UC-AD-02,Manage users + roles,Admin,RBAC schema seeded,User can log in with the assigned permissions,"/users, /roles, /permissions"
UC-AD-03,Review audit log,Admin / Compliance,audit:read permission,Compliance has evidence; no data modified,/audit-log
UC-AD-04,Tamper-evidence audit (Workbench),Admin / Compliance,Workbench used; ledger rows exist,Ledger integrity attested or tamper alarm raised,"/workbench-audit, CLI 'ion verify-ledger'"
UC-LR-01,Complete a curriculum module,Learner,Course assigned (or self-enrolled),Curriculum progress tracked; certificate or badge if applicable,"/training, /courses, /guide, /guide/sim, /guide/range"
UC-LR-02,Assign training to a team member,SOC Manager,Learner identified,Assignment persisted; deadline tracked,"/courses, /dashboard"
UC-CO-01,Respond to a SAR,DPO / Admin,SAR received from data subject,SAR-ready data extracted; UK GDPR Art. 15 obligation met,"/admin/sar, DPIA Appendix A SQL"
UC-CO-02,Process an Erasure request,DPO / Admin,Erasure validated as legal under UK GDPR Art. 17,Personal identifiers removed; operational artefacts retained as anonymised,"/admin/erasure, DPIA Appendix B SQL"
UC-TI-01,Generate the daily threat briefing,Threat Intel Analyst,OpenCTI integration enabled; threat data current,Daily briefing distributed; visible in /briefing next shift,"/threat-landscape, /executive-report"
UC-TI-02,Actor deep-dive + coverage gap,Threat Intel Analyst,Actor of interest identified,Coverage gap registered; tuning proposal filed if applicable,"/threat-intel, actor profile, /cyab/attack-heatmap, /tuning-proposals"
UC-OP-01,Deploy a new ION instance,Operator / SRE,Customer infrastructure provisioned; secrets in customer secrets-management,ION operational; monitoring picks up health; first login works,"/health, /login, docs/DEPLOYMENT.md"
UC-OP-02,DR drill: restore from backup,Operator / SRE,Postgres backup <= 24h old; image artefact accessible,Service restored; DR drill evidence captured for _mod_iteap.md S5,"/health, /cases, /workbench-audit"
UC-OP-03,Investigate a slow-query alarm,Operator / SRE,Customer monitoring fired on slow-query log row,Root cause documented; tuning applied; alarm cleared,"/admin/health-detail, /settings, SIEM trace"
UC-AI-01,Ask Bob about ION's data,Any analyst,Ollama enabled; AI chat surface accessible,Question answered with provenance; conversation persisted per user,"/ai-chat, case detail (chat panel)"
UC-AI-02,Natural-language to Elasticsearch query,Detection Engineer / L2/L3 Analyst,ES Security adapter configured; Ollama enabled,Query executed; saved-search optionally created,"AI-chat surface, /discover"
UC-NET-01,Review log source health before tuning a noisy rule,Detection Engineer,Log Source Health page populated,Root cause clarified; ticket filed against source not rule,"/log-source-health, /tuning-proposals"
UC-EM-01,Run an emulation plan,Detection Engineer,Emulation plan selected; permission to run in customer environment,Detection coverage measured; gaps tracked for closure,"/emulation, /tuning-proposals"
UC-CA-01,Tripped canary token,L1/L2 Analyst (consumer); DE (planner),Canary tokens deployed; tripped event captured,Canary-trip handled with high-fidelity response,"/canaries, /cases/{id}, suggested playbook"
UC-API-01,Forward case-create to customer ITSM,Admin / Customer Integrations Team,Webhook URL configured; HMAC secret set,Customer ITSM has the ticket; delivery is auditable,"/integrations, /admin/webhook-log"
