UR,SR(s),HLD ref,LLD ref,Use Case(s),Gap(s),Test(s),Status
UR-L1-001,SR-ALERT-002,S6.3,S10.1,UC-L1-01,GAP-01,test_alert_queue_order.py,Met
UR-L1-002,SR-ALERT-003,S6.3,S10.1,UC-L1-01,GAP-01,test_alert_row_fields.py,Met
UR-L1-003,SR-AI-001; SR-AI-002,S7.5,S7.1; S7.2,UC-L1-01,GAP-02; GAP-03,test_bob_template_match.py; test_bob_output_contract.py,Met
UR-L1-004,SR-AI-003,S7.5,S7.1,UC-L1-01,GAP-16,test_bob_confidence_band.py,Met
UR-L1-005,SR-CASE-001,S4,S5,UC-L1-01,GAP-01,test_bulk_close.py,Met
UR-L1-006,SR-CASE-001; SR-CASE-002,S4,S5; S6.2,UC-L1-02,GAP-01,test_case_create_from_alerts.py; test_case_grouper.py,Met
UR-L1-007,SR-OPS-002,S4.2,S10.1,UC-L1-03,GAP-12,test_shift_handover.py,Met
UR-L2-001,SR-CASE-003,S4,S10.1,UC-L2-01,GAP-04; GAP-06,test_case_landing_page.py,Met
UR-L2-002,SR-PIN-001; SR-PIN-002,S7.3,S3.3; S10.4,UC-L2-01,GAP-04,test_workbench_pin_lifecycle.py,Met
UR-L2-003,SR-LEDGER-001; SR-LEDGER-002,S7.3,S9.2,UC-AD-04,GAP-04; GAP-17,test_ledger_chain.py; test_ledger_tamper_detection.py,Met
UR-L2-004,SR-SIM-001; SR-SIM-002; SR-SIM-003,S4.2,S10.5,UC-L2-01,GAP-06,test_case_similarity.py; test_case_embedding_backfill.py,Met
UR-L2-005,SR-CASE-003,S4.2,S10.1,UC-L2-01,GAP-19,test_entity_timeline.py,Met
UR-L2-006,SR-PCAP-001; SR-PCAP-002; SR-PCAP-003,S4.2,S10.2,UC-L2-01,GAP-07,test_pcap_auto_analysis.py; test_pcap_ip_fallback.py,Met
UR-L2-007,SR-CASE-004,S4,S10.1,UC-L2-01,GAP-04,test_case_kanban.py,Met
UR-L3-001,SR-FOR-001; SR-LEDGER-003,S4.2,S3.3; S10.4,UC-L3-01,GAP-05,test_forensic_case_lifecycle.py; test_forensic_workbench.py,Met
UR-L3-002,SR-FOR-002,S4.2,S3.1,UC-L3-01,GAP-05,test_custody_log.py,Met
