UR ID,Persona,Priority,Status,Statement,Source,Acceptance
UR-L1-001,L1 Analyst,M,Met,"The L1 analyst sees a single ordered queue of alerts pending triage, sorted by severity x age, so they can attack the queue in priority order.",SOC operations parity; analyst feedback,"The /alerts queue page displays alerts in severity DESC, age ASC order by default."
UR-L1-002,L1 Analyst,M,Met,"For each alert, the L1 analyst sees enough context (rule name, MITRE technique, source, timestamp, affected entity) without opening a separate page.",Reduce-tab-fatigue analyst feedback,"The alert row in /alerts shows: severity, age, rule, technique, hostname/user, timestamp, status."
UR-L1-003,L1 Analyst,M,Met,"For each alert, the L1 analyst sees an AI-provided verdict suggestion with a confidence band, so they can triage common cases quickly.",AI parity with leading SOC platforms,"When Bob has a matching template, the alert row shows a verdict suggestion + confidence band. When no template matches, the suggestion is suppressed."
UR-L1-004,L1 Analyst,M,Met,"The L1 analyst is shown a visible signal when the AI's confidence is low, so they know to investigate manually rather than rely on the suggestion.",AI safety: avoid over-trust,Low-confidence verdicts display a circuit-breaker badge that suppresses the verdict text.
UR-L1-005,L1 Analyst,S,Met,The L1 analyst can select multiple alerts and close them as a batch when they share a closure reason.,Throughput,/alerts has a bulk-ops toolbar; >=2 alerts + Close applies the same CaseClosureReason to all.
UR-L1-006,L1 Analyst,M,Met,The L1 analyst can promote one or more alerts to a case with a single action.,Operations parity,Create Case action exists on single-selected alert and as a bulk-ops action on multi-selected alerts.
UR-L1-007,L1 Analyst,M,Met,"The L1 analyst hands over to the next shift with structured, pre-populated context.",Reduce shift-handover variance,"/shift-handover pre-populates with cases changed, alert volume, P1/P2 incidents, outstanding tunings; persists for next shift /briefing."
UR-L2-001,L2 Analyst,M,Met,"The L2 analyst opens a case and sees: linked alerts, observables, similar past cases, entity timelines, the Workbench, and an attack story if applicable, without further navigation.",Reduce decision time per case,/cases/{id} renders all six surfaces on initial load.
UR-L2-002,L2 Analyst,M,Met,"The L2 analyst pins relevant artefacts (alerts, observables, queries, notes, files) to a case for clarity at hand-off and audit-time.",Audit-readiness; analyst feedback,Workbench pin operation works for each pin type; every pin creates a CaseEvidencePin + CaseEvidenceLedger row.
UR-L2-003,L2 Analyst,M,Met,The L2 analyst's pinned evidence forms a tamper-evident audit chain that can be verified by audit / compliance.,Regulatory / audit requirement,CaseEvidenceLedger rows form a sha256 chain; verification walks the chain and surfaces tampering with row-level granularity.
UR-L2-004,L2 Analyst,S,Met,"The L2 analyst sees a list of similar past cases (top-5 by similarity), with their closure reasons, as context for the current decision.",Institutional-knowledge capture,A sidebar on the case detail page shows top-5 similar cases (pgvector + HNSW + Ollama embedding).
UR-L2-005,L2 Analyst,M,Met,The L2 analyst views a unified timeline for a host / user / IP across all ION data sources to spot kill-chain progression.,Hunt-and-pivot pattern,"/entity-timeline/{type}/{id} returns a unified, sorted timeline; case-detail drawer surfaces it."
UR-L2-006,L2 Analyst,M,Met,"The L2 analyst sees PCAP-derived findings on a case automatically, without pivoting out to Arkime, when network capture exists.",Reduce per-case decision time,Cases auto-trigger PCAP analysis on create; findings (12 heuristic detectors) post to case Workbench as pinned comment. v0.29.1 IP-fallback added.
UR-L2-007,L2 Analyst,M,Met,The SOC team views cases on a kanban board to manage the team's queue.,Parity with ticketing tools,/cases offers a kanban view by status; columns reflect case statuses; drag-to-update works.
UR-L3-001,L3 Analyst,M,Met,The L3 analyst has a forensic-case workflow that is structurally parallel to AlertCase but specialised for evidence-heavy DFIR.,DFIR maturity; chain-of-custody requirement,ForensicCase is a first-class entity; /forensics/{id} mirrors AlertCase capabilities; Workbench parity (v0.20.1).
